#unequal_treaty_desc;The Japanese are at a disadvantage. We are in a position to bring them to the negotiating table, and wrangle concessions of both trading privileges and reparations-- provided they are willing, of course.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
;;;;;;;;;;;;x,,,,,,,,,,,,,
sand_river_convention_desc;The Steenkoolers of the Obervahl are becoming increasingly resistant to colonial rule. The time has come to meet with them at Lichtzerfeld and discuss the terms of their independence - preferably subject to our conditions, which are that they abandon all laws allowing slavery and that our influence within their borders remain strong.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
sand_river_convention_title;Call the Sand River Convention;;;;;;;;;;;x
sarawak_protectorate_desc;The so-called 'White Rajah' dynasty of Sarawak has held close ties with Alba since its creation, and now the possibility of peacefully establishing a protectorate over this kingdom in the East Indies has arisen.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
sarawak_protectorate_title;Establish Protectorate Over Sarawak;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
second_alaskan_purchase_desc;Interlopers have moved in on our claims in northern Alaska. Considering we have friendly enough relations with them, perhaps we should consider a purchase of the territory before we resort to war?;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
second_alaskan_purchase_title;The Northern Alaska Purchase;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
second_irredentism_desc;The Italian Irredentist movement strove for the unification of all territories in the immediate vicinity of Italy which were largely or partly seen as populated by ethnic Italians. Not only did this include claims to Ticino and Nice, but it also meant territorial ambitions for Savoy, Corfu, and Malta.;;;;;;;;;;;;;x
second_irredentism_itp_desc;The Italian Irredentist movement strove for the unification of all territories in the immediate vicinity of Italy which were largely or partly seen as populated by ethnic Italians. Not only did this include claims to Ticino and Nice, but it also meant territorial ambitions for Savoy, Corfu, and Malta.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
second_irredentism_itp_title;Irredentismo Italiano;;;;;;;;;;;;;x
second_irredentism_title;Irredentismo Italiano;;;;;;;;;;;;;x,,,
self_strengthening_movement;Self-Strengthening Movement;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
self_strengthening_movement_desc;We cannot take a back seat to the western nations. We must make strides towards modernizing, no matter the cost!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
self_strengthening_movement_title;Self-Strengthening Movement;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
sell_alaska_desc;We have little use for our North American holdings. They are difficult to defend, and would be worth far more to another country than it is to us. While it may take some time to find an interested and appropriate buyer, perhaps we should start the process?;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
sell_alaska_title;Seek a Buyer for Alaska;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
sell_france_haiti_desc;The French still wish for a real foothold in the New World, and prior to the beginning of the 19th century, their foothold was Haiti. Now with this island under our control, should we relinquish it in order to better our relations with France, and allow them to regain some old glory?;;;;;;;;;;;;;x
sell_france_haiti_title;Sell Haiti to France;;;;;;;;;;;;;x
siamese_border_treaty_desc;Siam includes within its borders a number of conquered peoples: Laotians, Khmer and Vietnamese. A recent incident has brought to light an opportunity for us: demand that Siam release these lands, which we can then incorporate into our Indochina holdings, or face our wrath.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
siamese_border_treaty_title;Siamese Border Treaty;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
simla_convention_desc;Now that Tibet is a free nation, it might be prudent for our government to step forward and broker an arrangement. Tibet could be a useful ally, and anything that weakens the Chinese government is not an opportunity to pass up.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
simla_convention_title;The Simla Convention;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
spanish_restoration;The Restoration;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
spanish_restoration_desc;A period of relative peace and stability in Spain initiated by King Alfonso XII, the aim being to create a new system of government with balance between the liberals and conservatives.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
spanish_restoration_title;The Restoration;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
stop_accepting_the_slovaks_desc;Without control of Slovakia it's pointless to control;;;;;;;;;;;;;x
stop_accepting_the_slovaks_title;Rejecting the Slovaks;;;;;;;;;;;;;x
stop_balkan_assimilation_program;Cease the Balkan Assimilation Program blank;;;;;;;;;;;;;x
stop_balkan_assimilation_program_desc;Opposition to the Balkan Assimilation Program is not limited to those suffering under its machinations. Leaders in our nation have spoken out against it and perhaps it is time to cease the program, perhaps for good. It will cease the associated unrest and cause other nations to look kindly upon us.;;;;;;;;;;;;;x
stop_balkan_assimilation_program_nontur;Stop the Turk Assimilation Program;;;;;;;;;;;;;x
stop_balkan_assimilation_program_nontur_desc;The Turks had the audacity to try to destroy our culture. Although we have changed its purpose to suit our needs, have we not learned from the experience? We should do unto others as we wish to have done to us. We are better than the Turks, surely!;;;;;;;;;;;;;x
stop_balkan_assimilation_program_nontur_setup;Stop the Turk Assimilation Program;;;;;;;;;;;;;x
stop_balkan_assimilation_program_nontur_short;Stop the Turk Assimilation Program;;;;;;;;;;;;;x
stop_balkan_assimilation_program_nontur_title;Stop the Turkish Assimilation Program;;;;;;;;;;;;;x
stop_balkan_assimilation_program_setup;Cease the Balkan Assimilation Program setup;;;;;;;;;;;;;x
stop_balkan_assimilation_program_short;Cease the Balkan Assimilation Program short;;;;;;;;;;;;;x
stop_balkan_assimilation_program_title;Cease the Balkan Assimilation Program;;;;;;;;;;;;;x
sulu_protectorate_desc;The Sultanate of Sulu has held close ties with Spain for many years, and now the possibility of peacefully establishing a protectorate over this country in the East Indies has arisen.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
sulu_protectorate_title;Establish Protectorate Over Sulu;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
switch_to_dominion_might_desc;Our nation is strong, our borders inviolate. We shall march into the future together, humbly accepting the knowledge that our nation is the envy of the entire world.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
switch_to_dominion_might_title;Embrace the Ideal of Dominion;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
switch_to_dominion_order_desc;Our nation is strong, our borders inviolate. We shall march into the future together, humbly accepting the knowledge that our nation is the envy of the entire world.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
switch_to_dominion_order_title;Embrace the Ideal of Dominion;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
switch_to_enlightenment_desc;The time has come for our people to stop clinging to ancient tradition. We must look to the nations of the west, and embrace their technology, if we are to retain our independence and our place in the world.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
switch_to_enlightenment_title;Embrace the Ideal of Enlightenment;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
switch_to_equality_desc;It is time for our nation to change the character of our people, to encourage them to embrace the values of equality and social fairness above all else.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
switch_to_equality_title;Embrace the Ideal of Equality;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
switch_to_fraternity_desc;In our country, all men are created equal. It is time we fully embrace that maxim and throw off the shackles of iniquity.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
switch_to_fraternity_title;Embrace the ideal of Fraternity;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
switch_to_freedom_desc;Ours is a nation where all men are free to do as they wish, to advance their lot in life and achieve the greatness they were born to. This is our highest virtue, and the source of our nation's strength.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
switch_to_freedom_title;Embrace the Ideal of Freedom;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
switch_to_glory_liberty_desc;Ours is a great and powerful nation, possessing freedom and strength that other nations can only envy. We shall boldly stride into the future, where our greater destiny awaits.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
switch_to_glory_liberty_title;Embrace the Ideal of Glory;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
switch_to_glory_might_desc;Ours is a great and powerful nation, possessing freedom and strength that other nations can only envy. We shall boldly stride into the future, where our greater destiny awaits.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
switch_to_glory_might_title;Embrace the Ideal of Glory;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
switch_to_independence_desc;We will not allow our nation to be overrun by the western imperialists. We are strong, united, and shall remain such. Against all odds, our nation shall endure.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
switch_to_independence_title;Embrace the Ideal of Independence;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
switch_to_liberty_desc;It is time for our nation to change the character of our people, to encourage them to embrace the values of liberty and personal freedom above all else.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
switch_to_liberty_title;Embrace the Ideal of Liberty;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
switch_to_loyalty_desc;Every citizen in our nation exists to serve, towards the greater good. It is only by acting in unison that we can hope to preserve our nation in the perilous times to come.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
switch_to_loyalty_title;Embrace the Ideal of Loyalty;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
switch_to_might_desc;It is time for our nation to change the character of our people, to encourage them to embrace the values of force and military power above all else.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
switch_to_might_title;Embrace the Ideal of Might;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
switch_to_order_desc;It is time for our nation to change the character of our people, to encourage them to embrace the values of law and order above all else.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
switch_to_order_title;Embrace the Ideal of Order;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
switch_to_productivity_desc;Ours is a wealthy nation filled with industrious, driven people. Each man pushes himself to do better, for the betterment of all.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
switch_to_productivity_title;Embrace the Ideal of Productivity;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
switch_to_progress_desc;Our march towards civilization and matching any imperial nation with our ingenuity continues. We shall not be left behind!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
switch_to_progress_title;Embrace the Ideal of Progress;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
switch_to_prosperity_equality_desc;Our nation is wealthy and our people prosperous. This is and always shall be our greatest strength.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
switch_to_prosperity_equality_title;Embrace the Ideal of Prosperity;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
switch_to_prosperity_liberty_desc;Our nation is wealthy and our people prosperous. This is and always shall be our greatest strength.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
switch_to_prosperity_liberty_title;Embrace the Ideal of Prosperity;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
switch_to_supremacy_desc;Our culture is astounding. Our military might is unparalleled. Our industry is dazzling. Soon the rest of the world will know of our might, and shake as we step onto the wider stage.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
switch_to_supremacy_title;Embrace the ideal of Supremacy;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
switch_to_tradition_desc;For too long have we looked to the nations of the west. We reject their ways and their superiority, for our are now and always have been best for us.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
switch_to_tradition_title;Embrace the Ideal of Tradition;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
switch_to_unity_equality_desc;We move forward, but as a single people with a singular purpose. We shall not succumb to discord and revolution. Unity is our only hope of greatness.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
switch_to_unity_equality_title;Embrace the Ideal of Unity;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
switch_to_unity_order_desc;We move forward, but as a single people with a singular purpose. We shall not succumb to discord and revolution. Unity is our only hope of greatness.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
switch_to_unity_order_title;Embrace the Ideal of Unity;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
taiwan_administration_desc;Japan now controls Formosa, and our modern administration will get rid of Gaijin names and change the island accordingly.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
taiwan_administration_title;Japanese Formosa;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
the_great_game_makran_desc;We must press our domination of Central Asia. This means that Makran must be subjugated as a British colony, or we risk losing it to Russian aggression in the region.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
the_great_game_makran_title;The Great Game Comes to Makran;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
the_great_game_panjab_desc;We must press our domination of Central Asia. This means that the Panjab must be subjugated as a British colony, or we risk losing it to Russian aggression in the region.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
the_great_game_panjab_title;The Great Game Comes to Panjab;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
the_great_game_sindh_desc;We must press our domination of Central Asia. This means that the Sindh must be subjugated as a British colony, or we risk losing it to Russian aggression in the region.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
the_great_game_sindh_title;The Great Game Comes to Sindh;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
the_holy_city_desc;Mecca is the center of all Islam. To hold it is to stand above all others, and prove to them that the fate of all Islam lies in our hands.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
the_holy_city_title;The Holy City;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
tibetan_empire_desc;We are in a position to reclaim the glory of the Empire which was founded by Songtsen Gampo!;;;;;;;;;;;;;x,,
tibetan_empire_title;Reform the Tibetan Empire;;;;;;;;;;;;;x,,,
tonghak_reforms_desc; The peasant class of Korea has suffered as of late under the corrupt officials of the current system. Currently the floods and famines that have taken its toll on the lands has hit them quite hard, with increased taxes current aristocrats and officials have put in place has brought the peasant classes to the point of revolution. In response to this, the government has instituted a number of social, economic and military reforms in order to placate the peasantry. May Korea have some peace for now.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
tonghak_reforms_title;Donghak Reforms;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
total_war_in_kashgaria_desc;The glorious revolution awaits. We must call upon all our citizens to fight, lest our cause die before it has even achieved the first step towards victory.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
total_war_in_kashgaria_title;Total War in Kashgaria;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
total_war_in_peking_desc;The Taiping Rebellion threatens the dynasty and, indeed, the entire Empire. We must call on all our citizens to rise up and fight against these Christian infidels!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
total_war_in_peking_title;Total War in Peking;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
total_war_in_rio_grande_desc;The glorious revolution awaits. We must call upon all our citizens to fight, lest our cause die before it has even achieved the first step towards victory.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
total_war_in_rio_grande_sul_desc;The glorious revolution awaits. We must call upon all our citizens to fight, lest our cause die before it has even achieved the first step towards victory.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
total_war_in_rio_grande_sul_title;Total War in Rio Grande do Sul;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
total_war_in_rio_grande_title;Total War in Rio Grande;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
total_war_in_satsuma_desc;The rebellion for all that is honorable and traditional in Japan is now upon us. We must call upon all our citizens to fight, lest our cause die before it has even achieved the first step towards victory.;;;;;;;;;;;;x,,,,,,,,,,,,
total_war_in_satsuma_title;Total War in Satsuma;;;;;;;;;;;;x,,,,,,,,,,,,,
total_war_in_taiping_desc;The glorious revolution awaits. We must call upon all our citizens to fight, lest our cause die before it has even achieved the first step towards victory.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
total_war_in_taiping_title;Total War in Taiping;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
total_war_in_yucatan_desc;The glorious revolution awaits. We must call upon all our citizens to fight, lest our cause die before it has even achieved the first step towards victory.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
total_war_in_yucatan_title;Total War in Yucatan;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
total_war_in_yunnan_desc;The glorious revolution awaits. We must call upon all our citizens to fight, lest our cause die before it has even achieved the first step towards victory.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
total_war_in_yunnan_title;Total War in Yunnan;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
transition_to_russia;Become Russia;;;;;;;;;;;;;x
transition_to_russia_desc;The previous dictatorship of those who sought only power under the guise of worker's freedoms has been overthrown! Rejoice and bask in your new freedom, ye peoples of this brave country!;;;;;;;;;;;;;x
transition_to_russia_title;Become Russia;;;;;;;;;;;;;x
transition_to_soviet_union;Become the Soviet Union;;;;;;;;;;;;;x
transition_to_soviet_union_desc;Now that the Worker's Revolution has been carried out in our country, we can throw off the previous fascist and monarchist symbols of our glorious country and take up the symbols of the global revolution! This self-legitimization will, of course, harm our relations with the bourgeoise countries, but they shall feel the sting of the revolution in due time.;;;;;;;;;;;;;x
transition_to_soviet_union_title;Become the Soviet Union;;;;;;;;;;;;;x
treaties_of_velasco;Treaties of Velasco;;;;;;;;;;;;x,,,,,,,,,,,,,
treaties_of_velasco_desc;The treaties may be worth less than the paper they're printed on, but they supposedly offer us a guarantee of independence from Mexico. We shall see if they last.;;;;;;;;;;;;x,,,,,,,,,,,,
treaty_of_guadalupe_hidalgo_desc;Should we get a convincing enough victory over the Mexicans, we will be able to force them to the negotiating table in order to discuss their surrendering of all claims to land north of the Rio Grande-- in exchange for a fair price, of course.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
treaty_of_guadalupe_hidalgo_title;Treaty of Guadalupe Hidalgo;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
treaty_of_nanking_desc;Using our new influence with the Chinese government, we can force them to the table and extract trade and territory concessions-- not the least of which will be the cession of Hong Kong, a valuable port to possess on the southern seas.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
treaty_of_nanking_title;Treaty of Nanking;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
treaty_of_ouchy_desc;Now that we possess Tripoli, we can take the Turks to the negotiating table and force them to hand over the remainder of Libya in exchange for any other provinces of theirs we hold.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
treaty_of_ouchy_title;Treaty of Ouchy;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
treaty_of_paris_1856_desc;With the Russians having failed to assert their authority over the Turks, it is time for the powers of Europe to convene in Paris and settle the matter as best we can.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
treaty_of_paris_1856_title;Treaty of Paris;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
treaty_of_paris_1898_desc;Spain has no choice but to admit it cannot hold onto its Caribbean and Pacific holdings. If we sit down and enter into peace negotiations with the Spanish government, it is possible they might be willing to end this war and turn over their holdings to usÖ for a price. Some will see this as the beginnings of American colonialism, but to our government this is simply a recognition of the world power that the United States has become.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
treaty_of_paris_1898_title;Treaty of Paris;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
treaty_of_paris_1898_victory_desc;We have been victorious in our war against Spain, and Cuba is now free. The Spanish government should realize it does not have the power to hold onto its North American and Pacific colonies. We should approach them and demand they turn over these colonies to us-- for, while it might indicate to some the beginnings of American colonialism, we feel these colonies are best entrusted to the care of a democratic Western power who has the power to hold them.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
treaty_of_paris_1898_victory_title;Treaty of Paris;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
treaty_of_paris_russia_desc;Now that we have successfully asserted our authority over the Turks, it is time to convene the powers of Europe in Paris and settle the matter as best we can.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
treaty_of_paris_russia_title;Treaty of Paris;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
treaty_of_shimonoseki_desc;With the Chinese resistance crumbling, we are in a position to gain advantage-- namely the island of Formosa and reparations, not to mention proving our own superiority in the conflict.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
treaty_of_shimonoseki_title;Treaty of Shimonoseki;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
treaty_of_simulambuko_desc;With the colonial powers of Europe having met at the Congo Conference to decide the orderly division of the African continent, pressure is mounting for Portugal to occupy the lands we have lain claim to. Our diplomats have been in close contact with the princes of Cabinda, and with additional urging we should be able to conclude a treaty forcing the Kongolese to surrender our Angolan claims.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
treaty_of_simulambuko_title;Treaty of Simulambuko;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
treaty_of_tartuSOV_desc;Now that we are free from Russian rule, we should approach the Russian government and discuss the claims to Petsamo and southern Karelia before we end up in a territorial war we cannot hope to win.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
treaty_of_tartuSOV_title;Treaty of Tartu;;;;;;;;;;;;x
treaty_of_tartu_desc;Now that we are free from Russian rule, we should approach the Russian government and discuss the claims to Petsamo and southern Karelia before we end up in a territorial war we cannot hope to win.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
treaty_of_tartu_title;Treaty of Tartu;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
treaty_of_umtata_desc;Now that the war with the Xhosa is done, the time has come to discuss our mutual borders. With our colonists increasingly moving eastward, we may need to incorporate some of their lands into the Kaap Colony.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
treaty_of_umtata_title;Treaty of Umtata;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
treaty_of_vereeniging_desc;The Kaap Colony is under our control. Now is the time to sit down with our former colonial masters and work out a peace deal that will see it transferred back into Steenkooler hands.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
treaty_of_vereeniging_title;Treaty of Vereeniging;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
trucial_protectorate_desc;With enough influence among the sheiks of the Trucial States, a treaty could be signed that would force them to acknowledge us as their sovereign. They would enter into no relationships with other nations without our express permission, and our continued influence over the Arabian peninsula would be secured.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
trucial_protectorate_title;The Trucial States Treaty;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
ultimatum_to_portugal_desc;It is in the British government's best interests to expand our colonies in southern Africa northwards. This will be impossible if the Portuguese complete their dreams of the 'Pink Map' by connecting Angola and Mozambique. We must make our demand or face the possibility of surrendering central Africa to other powers.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
ultimatum_to_portugal_title;Send Ultimatum to Portugal;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
unequal_treaty_DAI_desc;The Vietnamese are in dire straits. They cannot hold out for much longer. Perhaps we should offer them the chance to go to the negotiating table, and end this war between usÖ on terms very much in our own favor, of course.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
unequal_treaty_DAI_title;Treaty of Hanoi;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
unequal_treaty_TPG_desc;The Heavenly Kingdom is at a disadvantage. We are in a position to bring them to the negotiating table, and wrangle concessions of both land and reparations-- provided they are willing, of course.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
unequal_treaty_TPG_title;The Unequal Treaty;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
unequal_treaty_desc;The Qin Empire is at a disadvantage. We are in a position to bring them to the negotiating table, and wrangle concessions of both land and reparations-- provided they are willing, of course.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
unequal_treaty_title;The Unequal Treaty;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
unite_ethiopia_ETH_desc;The civil war is over. Ethiopia must be one nation!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
unite_ethiopia_ETH_title;Unite Ethiopia;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
unite_ethiopia_SHW_desc;The civil war is over. Shewa must be one nation!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
unite_ethiopia_SHW_title;Unite Shewa;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
unite_greater_arabia;Unite Greater Arabia;;;;;;;;;;;;;x
unite_greater_arabia_desc;The Arabian peninsula is now under our complete control. We can finally unite our nation to avoid being left behind by the world!;;;;;;;;;;;;;x
unite_greater_arabia_title;Unite Greater Arabia;;;;;;;;;;;;;x
unite_greater_arabia_without;Unite Greater Arabia;;;;;;;;;;;;;x
unite_greater_arabia_without_desc;The Arabian peninsula is now under our thumb. We can let the fragmented states carry on, or we can unite the peninsula under a single centralized rule to better exploit its resources.;;;;;;;;;;;;;x
unite_greater_arabia_without_title;Unite Greater Arabia;;;;;;;;;;;;;x
unite_indonesia_desc;We must unite all of the Malay, Javan, Moluccan and Melanesian people of the East Indies under a common banner. Down with the imperialists!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
unite_indonesia_title;Unite Indonesia;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
unite_la_plata_desc;The nations which were once part of the Viceroyalty of La Plata must be reunited under a single flag once again, the platinean peoples bound together into a great nation, a power to rule in the New World.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
unite_la_plata_title;Unite La Plata;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
unite_malaya_desc;We must unite all of the Malay peoples of the East Indies under a common banner. Down with the imperialists!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
unite_malaya_title;Unite Malaysia;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
unite_moldavia_wallachia_desc;The Principalities of Moldavia and Wallachia must unite under a single flag, and together achieve our destiny as a united Volasea!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
unite_moldavia_wallachia_title;Unite Wallachia & Moldavia;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
unite_romania_without;Unite Volasea;;;;;;;;;;;;;x
unite_romania_without_desc;The territory of the Volasean peoples is now under our control. Perhaps we can unite it in order to block other nations from getting a foothold in this area, but we have to be careful that it does not fall out of our grasp.;;;;;;;;;;;;;x
unite_romania_without_title;Unite Volasea;;;;;;;;;;;;;x
unite_siberia_desc;Organisation of the Siberian Administration into a more cohesive whole is essential to running the region more efficiently;;;;;;;;;;;;;x
unite_siberia_title;Unite Siberia;;;;;;;;;;;;;x
unite_somalia_desc;We must unite all Somalis under a single, unified flag!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
unite_somalia_title;Unite Somaliland;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
